,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
319,Washington,Feb,13,0,0,13,12,0,2,2
320,Waterbury,Feb,2497,323,5,2825,1747,145,220,93
321,Waterford,Feb,47,2,0,49,11,3,13,2
322,Watertown,Feb,52,8,0,60,49,12,14,9
323,West Hartford,Feb,110,14,0,124,77,7,18,13
324,West Haven,Feb,688,79,0,767,217,30,37,19
325,Westbrook,Feb,33,7,0,40,32,4,2,2
326,Weston,Feb,18,0,0,18,10,0,0,0
327,Westport,Feb,60,5,0,65,49,2,1,1
328,Wethersfield,Feb,64,10,0,74,52,8,6,0
329,Willington,Feb,23,3,0,26,20,1,0,0
330,Wilton,Feb,26,0,0,26,15,0,1,1
331,Winchester,Feb,74,6,0,80,26,4,14,10
332,Windham,Feb,666,145,19,830,257,22,33,16
333,Windsor,Feb,114,19,1,134,73,6,11,7
334,Windsor Locks,Feb,48,7,0,55,37,2,11,9
335,Wolcott,Feb,49,10,0,59,26,8,14,8
336,Woodbridge,Feb,7,3,0,10,2,1,0,0
337,Woodbury,Feb,24,1,0,25,21,2,3,1
338,Woodstock,Feb,13,5,2,20,14,0,2,0
339,Grand Total,Feb,33020,5211,84,38315,14192,1528,2266,1109
340,Andover,Mar,1,0,0,1,1,0,0,0
341,Ansonia,Mar,217,24,0,241,114,5,21,11
342,Ashford,Mar,25,4,1,30,22,3,0,0
343,Avon,Mar,15,1,0,16,7,0,4,4
344,Barkhamsted,Mar,7,1,0,8,4,1,1,1
345,Beacon Falls,Mar,19,7,0,26,20,3,3,1
346,Berlin,Mar,33,10,0,43,39,1,1,1
347,Bethany,Mar,15,1,0,16,10,0,0,0
348,Bethel,Mar,91,8,0,99,40,4,7,4
349,Bethlehem,Mar,8,0,0,8,5,1,0,0
350,Bloomfield,Mar,88,17,0,105,45,5,10,5
351,Bolton,Mar,8,1,0,9,7,1,0,0
352,Bozrah,Mar,0,0,0,0,0,0,3,3
353,Branford,Mar,150,24,0,174,66,6,3,2
354,Bridgeport,Mar,4297,606,1,4904,763,124,194,92
355,Bridgewater,Mar,4,1,0,5,4,1,1,1
356,Bristol,Mar,447,37,1,485,179,13,36,14
357,Brookfield,Mar,50,5,0,55,45,3,5,0
358,Brooklyn,Mar,32,5,1,38,25,0,8,1
359,Burlington,Mar,8,1,0,9,6,1,2,1
360,Canaan,Mar,2,0,0,2,0,0,0,0
361,Canterbury,Mar,3,2,1,6,3,0,1,0
362,Canton,Mar,12,1,0,13,9,0,2,0
363,Chaplin,Mar,8,5,2,15,14,0,2,0
364,Cheshire,Mar,43,3,0,46,28,3,4,2
365,Chester,Mar,5,0,0,5,3,0,0,0
366,Clinton,Mar,51,9,0,60,47,4,14,9
367,Colchester,Mar,24,7,0,31,21,1,4,3
368,Colebrook,Mar,0,0,0,0,0,0,1,1
369,Columbia,Mar,7,2,0,9,8,0,0,0
370,Cornwall,Mar,1,0,0,1,1,0,0,0
371,Coventry,Mar,26,2,0,28,20,1,8,7
372,Cromwell,Mar,26,0,0,26,3,0,0,0
373,Danbury,Mar,1950,139,4,2093,804,26,39,15
374,Darien,Mar,27,2,0,29,9,0,0,0
375,Deep River,Mar,23,4,0,27,19,0,1,1
376,Derby,Mar,142,22,0,164,128,3,11,8
377,Durham,Mar,8,1,0,9,2,0,1,0
378,East Granby,Mar,12,2,0,14,11,1,2,2
379,East Haddam,Mar,21,2,0,23,20,1,0,0
380,East Hampton,Mar,32,5,0,37,20,0,2,1
381,East Hartford,Mar,519,102,7,628,145,22,36,22
382,East Haven,Mar,186,40,0,226,53,9,9,8
383,East Lyme,Mar,52,5,0,57,42,3,2,2
384,East Windsor,Mar,49,9,1,59,39,0,2,0
385,Eastford,Mar,5,2,0,7,5,0,0,0
386,Easton,Mar,10,0,0,10,9,0,2,0
387,Ellington,Mar,34,3,0,37,27,2,2,2
388,Enfield,Mar,195,33,1,229,198,16,20,11
389,Essex,Mar,10,0,0,10,3,0,0,0
390,Fairfield,Mar,170,22,0,192,74,5,0,0
391,Farmington,Mar,27,4,0,31,26,3,5,2
392,Franklin,Mar,1,1,0,2,0,0,0,0
393,Glastonbury,Mar,38,2,0,40,24,0,4,0
394,Goshen,Mar,1,0,0,1,0,1,0,0
395,Granby,Mar,20,2,0,22,11,1,0,0
396,Greenwich,Mar,190,24,1,215,30,1,1,0
397,Griswold,Mar,40,12,0,52,39,2,8,4
398,Groton,Mar,454,39,0,493,163,13,18,12
399,Guilford,Mar,35,9,0,44,15,2,5,4
400,Haddam,Mar,13,0,0,13,3,0,1,1
401,Hamden,Mar,314,49,0,363,110,18,31,15
402,Hampton,Mar,8,3,0,11,5,0,6,5
403,Hartford,Mar,2376,636,8,3020,1835,148,186,95
404,Hartland,Mar,2,0,0,2,2,0,0,0
405,Harwinton,Mar,4,0,0,4,4,0,2,1
406,Hebron,Mar,11,2,0,13,6,0,0,0
407,Kent,Mar,7,1,0,8,7,0,0,0
408,Killingly,Mar,136,37,0,173,126,8,16,7
409,Killingworth,Mar,7,0,0,7,2,0,0,0
410,Lebanon,Mar,13,6,0,19,15,2,0,0
411,Ledyard,Mar,91,12,0,103,58,2,5,2
412,Lisbon,Mar,9,3,0,12,11,0,1,0
413,Litchfield,Mar,15,3,0,18,8,2,1,1
414,Lyme,Mar,5,3,0,8,4,0,0,0
415,Madison,Mar,65,11,0,76,29,5,4,4
416,Manchester,Mar,396,99,1,496,175,15,28,11
417,Mansfield,Mar,51,3,0,54,36,0,7,4
418,Marlborough,Mar,7,1,0,8,6,2,1,1
419,Meriden,Mar,537,136,0,673,334,38,54,9
420,Middlebury,Mar,8,0,0,8,2,0,0,0
421,Middlefield,Mar,10,1,0,11,10,0,3,3
422,Middletown,Mar,320,34,0,354,103,10,23,10
423,Milford,Mar,155,19,0,174,70,6,14,12
424,Monroe,Mar,34,5,0,39,23,3,1,1
425,Montville,Mar,93,16,0,109,54,7,6,4
426,Morris,Mar,2,4,0,6,3,2,2,2
427,Naugatuck,Mar,217,25,1,243,153,13,36,21
428,New Britain,Mar,901,225,1,1127,261,49,90,47
429,New Canaan,Mar,41,2,0,43,17,2,1,0
430,New Fairfield,Mar,40,1,1,42,34,0,2,1
431,New Hartford,Mar,9,6,0,15,11,0,0,0
432,New Haven,Mar,3986,759,1,4746,1934,200,208,93
433,New London,Mar,1118,105,1,1224,122,27,42,22
434,New Milford,Mar,141,9,0,150,94,9,7,4
