,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
1086,Hebron,June,9,2,0,11,11,1,0,0
1087,Kent,June,4,1,0,5,4,0,0,0
1088,Killingly,June,144,39,0,183,147,10,14,6
1089,Killingworth,June,4,1,0,5,3,0,8,3
1090,Lebanon,June,13,7,0,20,20,0,0,0
1091,Ledyard,June,82,12,0,94,54,4,3,1
1092,Lisbon,June,15,4,0,19,9,2,0,0
1093,Litchfield,June,14,3,0,17,9,0,5,2
1094,Lyme,June,4,3,0,7,5,0,0,0
1095,Madison,June,59,4,0,63,23,2,6,3
1096,Manchester,June,389,78,2,469,170,20,29,18
1097,Mansfield,June,42,7,0,49,28,1,1,0
1098,Marlborough,June,10,1,0,11,10,1,0,0
1099,Meriden,June,511,107,0,618,304,40,72,25
1100,Middlebury,June,6,0,0,6,1,0,3,1
1101,Middlefield,June,11,1,0,12,5,1,2,2
1102,Middletown,June,328,50,0,378,93,35,31,19
1103,Milford,June,156,20,0,176,65,9,16,9
1104,Monroe,June,28,4,0,32,21,0,5,5
1105,Montville,June,86,21,0,107,65,3,27,14
1106,Morris,June,2,2,0,4,3,0,0,0
1107,Naugatuck,June,186,24,1,211,127,18,24,11
1108,New Britain,June,907,213,1,1121,230,69,100,42
1109,New Canaan,June,36,2,0,38,13,0,0,0
1110,New Fairfield,June,31,4,0,35,30,6,3,2
1111,New Hartford,June,9,4,0,13,12,0,2,1
1112,New Haven,June,3784,569,1,4354,1563,176,213,81
1113,New London,June,977,95,1,1073,107,28,32,13
1114,New Milford,June,126,16,0,142,96,5,11,5
1115,Newington,June,60,10,0,70,58,6,8,3
1116,Newtown,June,70,5,0,75,57,2,4,2
1117,Norfolk,June,6,1,0,7,7,0,4,1
1118,North Branford,June,26,2,0,28,9,2,2,1
1119,North Canaan,June,14,2,0,16,16,1,2,2
1120,North Haven,June,43,6,0,49,14,0,6,3
1121,North Stonington,June,14,3,0,17,17,0,3,1
1122,Norwalk,June,1738,129,0,1867,183,28,28,7
1123,Norwich,June,424,127,2,553,153,24,43,17
1124,Old Lyme,June,20,1,0,21,5,0,5,1
1125,Old Saybrook,June,50,2,0,52,7,0,2,1
1126,Orange,June,27,2,0,29,17,4,4,3
1127,Oxford,June,35,13,0,48,31,3,1,0
1128,Plainfield,June,96,20,5,121,40,4,14,6
1129,Plainville,June,90,10,0,100,29,7,10,7
1130,Plymouth,June,59,8,0,67,22,2,3,2
1131,Pomfret,June,9,7,0,16,7,0,0,0
1132,Portland,June,27,8,0,35,22,0,5,5
1133,Preston,June,11,3,0,14,12,0,4,1
1134,Prospect,June,17,1,0,18,13,2,4,4
1135,Putnam,June,84,27,0,111,64,1,12,7
1136,Redding,June,19,2,0,21,12,0,1,1
1137,Ridgefield,June,39,7,0,46,21,2,2,2
1138,Rocky Hill,June,39,2,0,41,16,0,12,7
1139,Roxbury,June,0,0,0,0,0,0,0,0
1140,Salem,June,12,0,0,12,8,4,2,0
1141,Salisbury,June,6,4,0,10,10,0,1,0
1142,Scotland,June,2,0,0,2,1,0,4,1
1143,Seymour,June,55,11,0,66,50,5,7,3
1144,Sharon,June,4,1,0,5,5,0,0,0
1145,Shelton,June,135,23,0,158,45,19,17,9
1146,Sherman,June,3,2,0,5,5,0,0,0
1147,Simsbury,June,24,5,0,29,18,2,2,0
1148,Somers,June,18,6,1,25,13,5,10,5
1149,South Windsor,June,41,11,2,54,26,3,5,2
1150,Southbury,June,18,1,0,19,15,0,3,1
1151,Southington,June,106,5,1,112,67,13,15,12
1152,Sprague,June,12,11,1,24,17,1,2,0
1153,Stafford,June,60,9,1,70,55,6,4,1
1154,Stamford,June,2467,270,2,2739,477,34,55,26
1155,Sterling,June,32,2,3,37,18,7,1,0
1156,Stonington,June,72,10,0,82,44,1,7,4
1157,Stratford,June,333,60,0,393,60,24,24,12
1158,Suffield,June,21,5,0,26,18,3,5,3
1159,Thomaston,June,20,5,0,25,9,4,4,1
1160,Thompson,June,64,21,4,89,45,5,7,4
1161,Tolland,June,33,5,0,38,28,3,2,2
1162,Torrington,June,231,25,1,257,185,21,43,16
1163,Trumbull,June,65,1,0,66,35,2,4,3
1164,Union,June,2,0,0,2,2,0,0,0
1165,Vernon,June,141,33,1,175,111,7,15,6
1166,Voluntown,June,8,3,0,11,9,1,0,0
1167,Wallingford,June,97,21,1,119,26,9,11,7
1168,Warren,June,5,0,0,5,4,4,0,0
1169,Washington,June,9,0,0,9,9,0,2,1
1170,Waterbury,June,2122,245,6,2373,1362,113,179,55
1171,Waterford,June,53,2,0,55,13,8,6,3
1172,Watertown,June,39,10,0,49,40,0,12,9
1173,West Hartford,June,105,11,1,117,58,5,17,8
1174,West Haven,June,648,58,0,706,199,32,36,22
1175,Westbrook,June,33,4,0,37,24,0,2,2
1176,Weston,June,14,0,0,14,9,0,1,1
1177,Westport,June,52,7,0,59,48,0,0,0
1178,Wethersfield,June,44,6,0,50,40,3,7,5
1179,Willington,June,27,3,0,30,26,2,0,0
1180,Wilton,June,22,1,0,23,12,1,0,0
1181,Winchester,June,53,3,1,57,29,8,19,13
1182,Windham,June,642,139,21,802,242,14,28,12
1183,Windsor,June,125,22,2,149,70,9,13,10
1184,Windsor Locks,June,54,5,0,59,35,3,4,2
1185,Wolcott,June,41,4,0,45,20,1,3,1
1186,Woodbridge,June,11,2,0,13,4,1,1,0
1187,Woodbury,June,24,6,0,30,25,0,1,0
1188,Woodstock,June,20,4,2,26,18,0,2,2
1189,Grand Total,June,31351,4576,103,36030,11986,1481,2204,1025
1190,Andover,March,4,0,0,4,4,0,0,0
1191,Ansonia,March,224,30,0,254,97,7,18,11
1192,Ashford,March,20,2,1,23,19,0,0,0
1193,Avon,March,10,1,0,11,2,0,2,0
1194,Barkhamsted,March,5,0,0,5,4,1,0,0
1195,Beacon Falls,March,22,7,0,29,25,2,3,2
1196,Berlin,March,30,9,2,41,38,3,0,0
1197,Bethany,March,21,3,0,24,12,0,1,0
1198,Bethel,March,78,9,1,88,28,1,2,2
1199,Bethlehem,March,5,0,0,5,3,0,0,0
1200,Bloomfield,March,88,14,0,102,48,5,13,6
1201,Bolton,March,6,1,0,7,7,0,5,4
1202,Bozrah,March,10,0,0,10,9,1,0,0
1203,Branford,March,180,11,0,191,68,13,12,6
1204,Bridgeport,March,3693,556,1,4250,632,160,214,86
1205,Bridgewater,March,4,1,0,5,4,0,0,0
1206,Bristol,March,405,40,0,445,119,24,44,18
1207,Brookfield,March,41,1,0,42,31,0,6,3
1208,Brooklyn,March,34,4,1,39,25,0,8,2
1209,Burlington,March,9,7,0,16,7,2,4,0
1210,Canaan,March,2,0,0,2,2,0,0,0
1211,Canterbury,March,9,3,0,12,9,1,3,0
1212,Canton,March,14,1,0,15,12,0,1,1
1213,Chaplin,March,5,5,2,12,10,1,0,0
1214,Cheshire,March,45,2,0,47,23,5,5,4
1215,Chester,March,7,0,0,7,2,1,1,1
1216,Clinton,March,43,4,0,47,22,2,3,1
1217,Colchester,March,25,5,0,30,28,1,2,1
1218,Colebrook,March,1,0,0,1,1,0,0,0
1219,Columbia,March,10,2,0,12,12,0,1,1
1220,Cornwall,March,1,0,0,1,1,0,0,0
1221,Coventry,March,30,5,0,35,20,0,1,0
1222,Cromwell,March,36,3,0,39,11,2,7,5
1223,Danbury,March,1827,174,3,2004,711,37,35,9
1224,Darien,March,39,3,0,42,11,6,1,1
1225,Deep River,March,23,3,0,26,16,1,4,1
1226,Derby,March,140,20,0,160,127,8,15,9
1227,Durham,March,12,2,0,14,2,1,0,0
1228,East Granby,March,9,2,0,11,10,0,1,1
1229,East Haddam,March,14,1,0,15,15,1,2,1
1230,East Hampton,March,33,4,0,37,16,3,3,3
1231,East Hartford,March,527,94,8,629,101,52,48,32
1232,East Haven,March,227,34,0,261,41,19,18,11
1233,East Lyme,March,49,11,0,60,53,6,4,3
1234,East Windsor,March,59,12,1,72,38,3,0,0
1235,Eastford,March,6,2,0,8,6,0,0,0
1236,Easton,March,12,0,0,12,11,1,0,0
1237,Ellington,March,39,6,0,45,26,5,2,2
1238,Enfield,March,169,43,2,214,151,14,27,13
1239,Essex,March,13,1,0,14,7,0,2,0
1240,Fairfield,March,160,19,0,179,67,5,9,4
1241,Farmington,March,34,4,0,38,19,4,2,2
1242,Franklin,March,4,1,0,5,2,0,3,3
1243,Glastonbury,March,48,2,0,50,26,1,4,2
1244,Goshen,March,1,0,0,1,1,0,0,0
1245,Granby,March,17,1,0,18,12,0,3,3
1246,Greenwich,March,219,22,0,241,38,5,4,3
1247,Griswold,March,57,10,1,68,48,3,15,4
1248,Groton,March,426,36,0,462,165,6,22,11
1249,Guilford,March,58,8,0,66,18,13,3,3
1250,Haddam,March,12,0,0,12,2,0,1,1
1251,Hamden,March,321,40,0,361,106,22,16,8
1252,Hampton,March,5,0,0,5,3,0,0,0
1253,Hartford,March,2527,534,11,3072,1016,183,218,102
1254,Hartland,March,2,0,0,2,2,0,0,0
1255,Harwinton,March,3,0,0,3,3,0,0,0
1256,Hebron,March,10,1,0,11,11,2,2,1
1257,Kent,March,4,1,0,5,4,0,0,0
1258,Killingly,March,136,36,1,173,139,3,20,11
1259,Killingworth,March,7,2,0,9,3,3,0,0
1260,Lebanon,March,13,7,0,20,19,1,2,2
1261,Ledyard,March,79,13,0,92,57,3,4,2
1262,Lisbon,March,11,6,0,17,9,1,0,0
1263,Litchfield,March,13,3,0,16,10,0,8,7
1264,Lyme,March,4,3,0,7,2,0,0,0
1265,Madison,March,60,4,0,64,24,2,2,0
1266,Manchester,March,374,88,2,464,164,21,39,17
1267,Mansfield,March,43,6,0,49,24,2,0,0
1268,Marlborough,March,8,1,0,9,9,0,1,0
1269,Meriden,March,525,138,0,663,330,33,45,30
1270,Middlebury,March,5,0,0,5,2,1,0,0
1271,Middlefield,March,9,3,0,12,5,1,2,0
1272,Middletown,March,316,43,0,359,84,12,42,22
1273,Milford,March,151,21,0,172,67,4,23,11
1274,Monroe,March,30,4,0,34,21,1,9,3
1275,Montville,March,93,17,0,110,69,5,19,8
1276,Morris,March,3,2,0,5,4,1,3,2
1277,Naugatuck,March,172,18,1,191,118,12,14,9
1278,New Britain,March,900,212,4,1116,227,64,125,41
1279,New Canaan,March,36,2,0,38,12,0,4,3
1280,New Fairfield,March,29,3,0,32,26,2,4,0
1281,New Hartford,March,10,4,1,15,12,1,7,4
1282,New Haven,March,3840,569,1,4410,1565,178,233,81
1283,New London,March,982,109,2,1093,107,32,44,31
1284,New Milford,March,112,13,0,125,86,6,10,3
1285,Newington,March,59,12,0,71,53,8,8,3
1286,Newtown,March,70,5,0,75,55,2,8,4
1287,Norfolk,March,10,1,0,11,8,0,0,0
1288,North Branford,March,25,2,0,27,10,1,4,3
1289,North Canaan,March,10,1,0,11,10,4,4,0
1290,North Haven,March,48,6,0,54,15,7,6,4
1291,North Stonington,March,19,3,0,22,18,2,1,1
1292,Norwalk,March,1710,132,0,1842,185,19,32,8
1293,Norwich,March,432,120,2,554,155,14,31,11
1294,Old Lyme,March,20,1,0,21,3,3,5,1
1295,Old Saybrook,March,49,2,0,51,7,0,0,0
1296,Orange,March,23,3,0,26,17,0,2,1
1297,Oxford,March,32,10,0,42,26,0,5,3
1298,Plainfield,March,90,19,7,116,41,7,17,11
1299,Plainville,March,91,13,0,104,27,4,21,14
1300,Plymouth,March,55,8,0,63,18,4,6,3
1301,Pomfret,March,9,7,0,16,7,0,1,0
1302,Portland,March,31,8,0,39,15,3,1,0
1303,Preston,March,14,4,0,18,12,0,1,1
1304,Prospect,March,14,0,0,14,10,0,3,2
1305,Putnam,March,89,27,0,116,64,1,4,4
1306,Redding,March,18,2,0,20,11,0,4,1
1307,Ridgefield,March,47,6,0,53,23,6,1,1
1308,Rocky Hill,March,42,3,0,45,18,3,3,2
1309,Roxbury,March,0,0,0,0,0,0,0,0
1310,Salem,March,8,0,0,8,8,0,0,0
1311,Salisbury,March,6,4,0,10,10,0,0,0
1312,Scotland,March,2,0,0,2,1,0,0,0
1313,Seymour,March,61,10,0,71,49,2,11,8
1314,Sharon,March,5,2,0,7,6,1,0,0
1315,Shelton,March,119,21,0,140,38,3,21,17
1316,Sherman,March,5,2,0,7,7,0,1,0
1317,Simsbury,March,25,8,0,33,21,3,3,2
1318,Somers,March,19,7,1,27,15,1,5,0
1319,South Windsor,March,43,10,1,54,28,3,0,0
1320,Southbury,March,16,1,0,17,11,1,2,1
1321,Southington,March,109,7,1,117,71,13,6,4
1322,Sprague,March,14,13,1,28,16,1,2,1
1323,Stafford,March,62,11,1,74,52,1,5,3
1324,Stamford,March,2442,262,2,2706,452,29,44,13
1325,Sterling,March,25,2,3,30,19,0,4,0
1326,Stonington,March,80,10,0,90,44,1,1,0
1327,Stratford,March,337,65,0,402,65,20,10,5
1328,Suffield,March,24,4,0,28,20,2,2,2
1329,Thomaston,March,27,6,0,33,10,15,1,1
1330,Thompson,March,64,23,4,91,45,6,2,2
1331,Tolland,March,36,5,0,41,30,5,0,0
1332,Torrington,March,218,25,1,244,178,21,33,17
1333,Trumbull,March,65,4,0,69,36,2,3,1
1334,Union,March,2,0,0,2,2,0,0,0
1335,Vernon,March,145,35,1,181,104,5,24,18
1336,Voluntown,March,7,3,0,10,9,0,0,0
1337,Wallingford,March,107,20,1,128,36,5,16,15
1338,Warren,March,0,0,0,0,0,0,0,0
1339,Washington,March,8,0,0,8,8,0,0,0
1340,Waterbury,March,2169,242,5,2416,1359,113,156,50
1341,Waterford,March,45,6,0,51,15,5,1,1
1342,Watertown,March,41,15,0,56,43,12,6,4
1343,West Hartford,March,107,10,0,117,60,5,6,5
1344,West Haven,March,657,58,0,715,205,29,74,41
1345,Westbrook,March,40,4,0,44,26,2,3,2
1346,Weston,March,14,0,0,14,9,0,0,0
1347,Westport,March,49,9,0,58,50,3,0,0
1348,Wethersfield,March,45,6,0,51,39,3,13,9
1349,Willington,March,25,3,0,28,25,4,1,0
1350,Wilton,March,24,1,0,25,13,2,0,0
1351,Winchester,March,56,4,1,61,26,6,9,6
1352,Windham,March,644,139,23,806,249,18,31,14
1353,Windsor,March,127,16,2,145,73,7,7,4
1354,Windsor Locks,March,57,5,0,62,37,2,7,3
1355,Wolcott,March,38,5,0,43,13,9,1,0
1356,Woodbridge,March,13,2,0,15,6,2,0,0
1357,Woodbury,March,22,5,0,27,23,0,3,2
1358,Woodstock,March,19,4,2,25,17,1,0,0
1359,Grand Total,March,31464,4633,105,36202,11902,1473,2162,1003
1360,Andover,May,2,0,0,2,2,0,1,1
1361,Ansonia,May,214,37,0,251,97,10,12,7
1362,Ashford,May,19,2,1,22,18,0,0,0
1363,Avon,May,10,3,0,13,2,3,4,1
1364,Barkhamsted,May,7,0,0,7,4,0,0,0
1365,Beacon Falls,May,26,6,0,32,28,5,6,5
1366,Berlin,May,30,10,2,42,38,5,3,0
1367,Bethany,May,20,3,0,23,11,1,1,0
1368,Bethel,May,86,9,1,96,35,6,7,5
1369,Bethlehem,May,5,0,0,5,3,0,1,0
1370,Bloomfield,May,92,17,0,109,49,11,13,7
1371,Bolton,May,6,1,0,7,7,0,1,0
1372,Bozrah,May,9,0,0,9,9,0,1,1
1373,Branford,May,167,14,0,181,68,5,12,8
1374,Bridgeport,May,3701,519,1,4221,640,134,185,70
1375,Bridgewater,May,4,1,0,5,4,0,1,1
1376,Bristol,May,408,37,0,445,120,21,36,22
1377,Brookfield,May,36,3,1,40,32,3,9,7
1378,Brooklyn,May,37,6,1,44,26,2,3,1
1379,Burlington,May,8,3,0,11,4,0,4,2
1380,Canaan,May,2,0,0,2,2,0,0,0
1381,Canterbury,May,12,3,0,15,9,3,2,1
1382,Canton,May,14,1,0,15,11,0,1,1
1383,Chaplin,May,5,3,2,10,9,0,0,0
1384,Cheshire,May,42,1,0,43,22,2,10,7
1385,Chester,May,5,0,0,5,3,0,2,1
1386,Clinton,May,45,8,0,53,25,6,1,0
1387,Colchester,May,25,5,0,30,29,2,5,2
1388,Colebrook,May,1,0,0,1,1,0,0,0
1389,Columbia,May,10,3,0,13,11,2,0,0
1390,Cornwall,May,0,0,0,0,0,0,0,0
1391,Coventry,May,29,7,0,36,22,0,4,2
1392,Cromwell,May,35,4,0,39,13,0,3,3
1393,Danbury,May,1845,186,5,2036,722,54,43,13
1394,Darien,May,34,2,0,36,10,3,4,4
1395,Deep River,May,22,4,0,26,14,1,1,0
1396,Derby,May,138,20,0,158,123,10,16,13
1397,Durham,May,13,1,0,14,3,1,0,0
1398,East Granby,May,8,2,0,10,9,0,0,0
1399,East Haddam,May,17,1,0,18,17,2,1,0
1400,East Hampton,May,35,4,0,39,18,1,5,2
1401,East Hartford,May,506,98,8,612,94,36,55,33
1402,East Haven,May,223,33,0,256,44,19,20,12
1403,East Lyme,May,48,9,0,57,49,4,5,1
1404,East Windsor,May,49,10,1,60,34,4,6,4
1405,Eastford,May,6,2,0,8,6,0,0,0
1406,Easton,May,14,0,0,14,13,1,0,0
1407,Ellington,May,38,4,1,43,28,3,4,2
1408,Enfield,May,177,29,1,207,153,10,12,11
1409,Essex,May,16,1,0,17,7,3,1,1
1410,Fairfield,May,152,17,0,169,66,7,11,9
1411,Farmington,May,36,3,1,40,19,5,2,1
1412,Franklin,May,4,1,0,5,2,0,0,0
1413,Glastonbury,May,44,2,0,46,27,1,5,1
1414,Goshen,May,0,0,0,0,0,0,2,2
1415,Granby,May,15,1,0,16,12,2,2,1
1416,Greenwich,May,220,24,0,244,41,7,5,2
1417,Griswold,May,51,8,1,60,45,3,13,5
1418,Groton,May,389,37,0,426,163,6,21,10
1419,Guilford,May,44,7,0,51,17,0,1,0
1420,Haddam,May,14,0,0,14,2,0,0,0
1421,Hamden,May,320,37,0,357,111,22,22,11
1422,Hampton,May,6,0,0,6,3,1,0,0
1423,Hartford,May,2495,551,10,3056,1003,183,223,103
1424,Hartland,May,2,0,0,2,2,0,2,0
1425,Harwinton,May,5,0,0,5,4,1,1,1
1426,Hebron,May,8,2,0,10,10,1,1,0
1427,Kent,May,4,1,0,5,4,0,1,1
1428,Killingly,May,140,34,1,175,141,7,12,8
1429,Killingworth,May,9,2,0,11,3,0,0,0
1430,Lebanon,May,15,7,0,22,22,3,7,2
1431,Ledyard,May,84,11,0,95,56,6,5,2
1432,Lisbon,May,13,4,0,17,9,1,1,1
1433,Litchfield,May,15,3,0,18,10,1,0,0
1434,Lyme,May,4,3,0,7,2,0,0,0
1435,Madison,May,64,3,0,67,24,3,1,0
1436,Manchester,May,390,78,2,470,170,27,40,23
1437,Mansfield,May,42,7,0,49,29,0,1,0
1438,Marlborough,May,9,1,0,10,10,1,3,0
1439,Meriden,May,522,113,0,635,314,40,55,35
1440,Middlebury,May,8,0,0,8,2,3,0,0
1441,Middlefield,May,10,3,0,13,5,1,0,0
1442,Middletown,May,318,41,0,359,90,28,51,22
1443,Milford,May,153,20,0,173,64,13,11,3
1444,Monroe,May,30,4,0,34,21,2,5,1
1445,Montville,May,92,24,0,116,67,10,11,6
1446,Morris,May,2,2,0,4,3,0,3,2
1447,Naugatuck,May,177,23,1,201,122,15,13,8
1448,New Britain,May,887,205,2,1094,222,63,120,41
1449,New Canaan,May,38,2,0,40,13,3,0,0
1450,New Fairfield,May,29,3,0,32,26,4,1,0
1451,New Hartford,May,10,4,0,14,13,1,14,12
1452,New Haven,May,3772,573,1,4346,1553,171,274,103
1453,New London,May,971,97,1,1069,107,33,47,22
1454,New Milford,May,121,16,0,137,92,10,14,8
1455,Newington,May,59,10,0,69,52,5,2,1
1456,Newtown,May,69,6,0,75,55,5,5,4
1457,Norfolk,May,10,1,0,11,8,0,0,0
1458,North Branford,May,24,2,0,26,9,1,2,1
1459,North Canaan,May,16,1,0,17,16,3,0,0
1460,North Haven,May,45,6,0,51,14,1,8,4
1461,North Stonington,May,15,3,0,18,17,0,1,1
1462,Norwalk,May,1727,131,0,1858,181,31,37,15
1463,Norwich,May,427,121,2,550,158,23,41,10
1464,Old Lyme,May,21,3,0,24,6,1,0,0
1465,Old Saybrook,May,49,2,0,51,7,0,3,3
1466,Orange,May,26,2,0,28,17,6,2,1
1467,Oxford,May,34,11,0,45,27,3,0,0
1468,Plainfield,May,95,21,7,123,40,6,9,8
1469,Plainville,May,89,11,0,100,30,2,21,10
1470,Plymouth,May,59,7,0,66,21,6,0,0
1471,Pomfret,May,9,7,0,16,7,0,0,0
1472,Portland,May,28,10,0,38,21,2,1,1
1473,Preston,May,13,4,0,17,12,1,1,1
1474,Prospect,May,17,0,0,17,13,2,4,3
1475,Putnam,May,87,28,0,115,64,2,8,5
1476,Redding,May,19,2,0,21,12,0,0,0
1477,Ridgefield,May,39,6,0,45,21,0,3,1
1478,Rocky Hill,May,46,4,0,50,19,8,2,1
1479,Roxbury,May,0,0,0,0,0,0,0,0
1480,Salem,May,9,0,0,9,9,0,0,0
1481,Salisbury,May,7,4,0,11,11,2,0,0
1482,Scotland,May,2,0,0,2,1,0,1,0
1483,Seymour,May,52,10,0,62,49,1,5,2
1484,Sharon,May,4,1,0,5,5,0,1,0
1485,Shelton,May,124,20,0,144,41,12,20,13
1486,Sherman,May,3,2,0,5,5,0,2,2
1487,Simsbury,May,24,6,0,30,19,3,3,2
1488,Somers,May,19,5,1,25,16,6,6,1
1489,South Windsor,May,41,13,2,56,26,6,3,2
1490,Southbury,May,21,1,0,22,16,2,2,2
1491,Southington,May,115,6,1,122,74,14,8,7
1492,Sprague,May,11,11,1,23,16,0,5,2
1493,Stafford,May,55,10,1,66,53,1,6,2
1494,Stamford,May,2468,274,2,2744,475,43,29,14
1495,Sterling,May,26,2,3,31,18,3,4,3
1496,Stonington,May,74,10,0,84,44,1,4,1
1497,Stratford,May,323,64,0,387,61,22,25,16
1498,Suffield,May,18,9,0,27,19,4,5,2
1499,Thomaston,May,23,2,0,25,11,2,5,2
1500,Thompson,May,67,22,4,93,47,2,5,2
1501,Tolland,May,31,5,0,36,27,0,1,1
1502,Torrington,May,235,24,1,260,188,30,33,10
1503,Trumbull,May,66,1,0,67,36,3,4,3
1504,Union,May,2,0,0,2,2,0,0,0
1505,Vernon,May,147,33,1,181,107,13,22,16
1506,Voluntown,May,7,3,0,10,9,0,0,0
1507,Wallingford,May,99,25,1,125,29,6,16,8
1508,Warren,May,1,0,0,1,1,1,0,0
1509,Washington,May,9,0,0,9,9,1,0,0
1510,Waterbury,May,2191,256,7,2454,1425,171,157,69
1511,Waterford,May,50,3,0,53,15,7,6,3
1512,Watertown,May,46,12,0,58,47,9,12,6
1513,West Hartford,May,112,10,0,122,59,9,10,5
1514,West Haven,May,653,55,0,708,197,40,52,26
1515,Westbrook,May,34,4,0,38,25,0,4,3
1516,Weston,May,15,0,0,15,9,0,2,1
1517,Westport,May,53,7,0,60,48,2,1,1
1518,Wethersfield,May,44,7,0,51,40,5,11,4
1519,Willington,May,25,3,0,28,25,0,1,0
1520,Wilton,May,21,1,0,22,12,0,0,0
1521,Winchester,May,54,5,1,60,30,11,14,10
1522,Windham,May,639,142,23,804,244,13,37,20
1523,Windsor,May,134,17,2,153,71,15,18,11
1524,Windsor Locks,May,55,5,0,60,36,4,3,1
1525,Wolcott,May,41,4,0,45,20,9,3,1
1526,Woodbridge,May,11,2,0,13,5,0,1,1
1527,Woodbury,May,24,6,0,30,25,4,3,3
1528,Woodstock,May,20,4,2,26,18,2,8,1
1529,Grand Total,May,31363,4591,107,36061,12021,1645,2210,1046
1530,Andover,November,2,0,0,2,2,0,0,0
1531,Ansonia,November,231,33,0,264,105,17,20,13
1532,Ashford,November,24,3,1,28,20,1,5,4
1533,Avon,November,12,1,0,13,3,0,0,0
1534,Barkhamsted,November,8,0,0,8,5,2,1,1
1535,Beacon Falls,November,23,7,0,30,24,4,3,2
1536,Berlin,November,32,10,0,42,39,2,6,2
1537,Bethany,November,21,0,0,21,11,0,0,0
1538,Bethel,November,90,14,3,107,31,4,6,1
1539,Bethlehem,November,7,0,0,7,4,0,0,0
1540,Bloomfield,November,101,16,0,117,57,12,11,4
1541,Bolton,November,8,2,0,10,10,0,0,0
1542,Bozrah,November,11,0,0,11,10,1,0,0
1543,Branford,November,177,18,0,195,74,12,14,10
1544,Bridgeport,November,3897,554,1,4452,684,165,206,90
1545,Bridgewater,November,4,1,0,5,4,0,0,0
1546,Bristol,November,438,35,1,474,180,34,58,31
1547,Brookfield,November,39,2,0,41,35,1,2,2
1548,Brooklyn,November,38,7,1,46,26,4,5,2
1549,Burlington,November,8,0,0,8,2,2,2,0
1550,Canaan,November,2,0,0,2,2,0,0,0
1551,Canterbury,November,7,8,0,15,11,3,5,4
1552,Canton,November,15,1,0,16,12,1,0,0
1553,Chaplin,November,5,3,2,10,9,0,0,0
1554,Cheshire,November,34,0,0,34,30,0,9,3
1555,Chester,November,7,0,0,7,4,2,0,0
1556,Clinton,November,44,7,0,51,27,1,5,4
1557,Colchester,November,35,5,0,40,30,2,5,2
1558,Colebrook,November,1,0,0,1,1,0,0,0
1559,Columbia,November,8,2,0,10,10,0,1,0
1560,Cornwall,November,0,0,0,0,0,0,0,0
1561,Coventry,November,28,5,0,33,21,0,2,2
1562,Cromwell,November,39,0,0,39,11,1,3,3
1563,Danbury,November,1832,151,6,1989,690,31,52,22
1564,Darien,November,31,2,0,33,10,1,0,0
1565,Deep River,November,22,3,0,25,14,0,0,0
1566,Derby,November,143,22,0,165,126,5,13,10
1567,Durham,November,11,1,0,12,1,0,0,0
1568,East Granby,November,8,2,0,10,9,0,1,0
1569,East Haddam,November,18,1,0,19,19,1,2,2
1570,East Hampton,November,34,5,0,39,16,6,7,2
1571,East Hartford,November,516,88,9,613,137,35,58,45
1572,East Haven,November,219,34,0,253,49,17,34,18
1573,East Lyme,November,45,11,0,56,52,4,8,4
1574,East Windsor,November,53,13,1,67,38,6,3,3
1575,Eastford,November,6,2,0,8,6,0,0,0
1576,Easton,November,15,0,0,15,12,0,0,0
1577,Ellington,November,35,5,1,41,29,2,3,1
1578,Enfield,November,188,30,3,221,181,15,8,7
1579,Essex,November,14,1,0,15,7,0,2,1
1580,Fairfield,November,155,16,0,171,65,6,7,4
1581,Farmington,November,29,4,1,34,19,0,2,0
1582,Franklin,November,5,1,0,6,3,0,2,1
1583,Glastonbury,November,37,2,0,39,22,5,3,1
1584,Goshen,November,0,2,0,2,0,0,0,0
1585,Granby,November,12,5,0,17,11,3,1,1
1586,Greenwich,November,206,22,0,228,38,5,10,5
1587,Griswold,November,54,14,0,68,48,9,7,4
1588,Groton,November,415,50,0,465,166,26,25,19
1589,Guilford,November,55,7,0,62,19,8,3,2
1590,Haddam,November,19,0,0,19,2,5,0,0
1591,Hamden,November,317,34,0,351,116,18,28,18
1592,Hampton,November,6,0,0,6,4,0,2,1
1593,Hartford,November,2462,580,14,3056,1717,147,186,83
1594,Hartland,November,3,0,0,3,2,0,0,0
1595,Harwinton,November,5,0,0,5,4,1,2,1
1596,Hebron,November,14,2,0,16,10,3,2,2
1597,Kent,November,4,1,0,5,4,0,2,1
1598,Killingly,November,135,35,0,170,145,7,20,8
1599,Killingworth,November,4,2,0,6,2,0,1,1
1600,Lebanon,November,13,7,0,20,20,0,0,0
1601,Ledyard,November,92,11,0,103,60,4,5,1
1602,Lisbon,November,10,4,0,14,7,0,3,3
1603,Litchfield,November,16,4,0,20,11,1,6,3
1604,Lyme,November,4,3,0,7,5,0,0,0
1605,Madison,November,58,7,0,65,21,3,1,1
1606,Manchester,November,399,101,3,503,173,35,33,16
1607,Mansfield,November,45,7,0,52,37,1,0,0
1608,Marlborough,November,6,1,0,7,7,0,0,0
1609,Meriden,November,529,109,0,638,332,52,55,32
1610,Middlebury,November,4,0,0,4,1,2,2,0
